method,weight,P_precision@0.1,P_recall@0.1,P_f1@0.1,P_precision@0.2,P_recall@0.2,P_f1@0.2,P_precision@0.5,P_recall@0.5,P_f1@0.5,P_e2e_mae,P_e2e_median_ae,P_e2e_p90,P_e2e_p95,P_matched_timing_mae,P_matched_timing_median_ae,P_matched_timing_p95,P_wrong_peak_rate,P_miss_rate,P_no_pick_rate,P_n_labeled,P_n_pred,S_precision@0.1,S_recall@0.1,S_f1@0.1,S_precision@0.2,S_recall@0.2,S_f1@0.2,S_precision@0.5,S_recall@0.5,S_f1@0.5,S_e2e_mae,S_e2e_median_ae,S_e2e_p90,S_e2e_p95,S_matched_timing_mae,S_matched_timing_median_ae,S_matched_timing_p95,S_wrong_peak_rate,S_miss_rate,S_no_pick_rate,S_n_labeled,S_n_pred
phasenet,stead,0.8205128205128205,0.5925925925925926,0.6881720430107526,0.8974358974358975,0.6481481481481481,0.7526881720430108,0.9743589743589745,0.7037037037037037,0.8172043010752689,0.92025641025641,0.04,0.2109999999999998,0.2814999999999999,0.0644736842105263,0.04,0.26,0.0185185185185185,0.2777777777777778,0.2777777777777778,108,78,0.3333333333333333,0.5714285714285714,0.4210526315789474,0.4444444444444444,0.7619047619047619,0.5614035087719298,0.5370370370370371,0.9206349206349206,0.6783625730994152,0.2152380952380952,0.07,0.4120000000000003,1.0299999999999996,0.1096551724137931,0.07,0.3315,0.0793650793650793,0.0,0.0,63,108
distance_only,stead,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.4259259259259259,0.4259259259259259,0.4259259259259259,0.8240740740740741,0.8240740740740741,0.8240740740740741,0.2894596944444444,0.2395680000000004,0.5990968,0.7651079000000004,0.2050550224719101,0.1831239999999979,0.4345050000000005,0.1759259259259259,0.0,0.0,108,108,0.1481481481481481,0.2539682539682539,0.1871345029239766,0.2222222222222222,0.3809523809523809,0.2807017543859649,0.4259259259259259,0.7301587301587301,0.5380116959064327,0.3565064761904761,0.2541620000000011,0.8309086000000018,0.9293758000000002,0.2028467826086957,0.1815150000000017,0.4607627500000006,0.2698412698412698,0.0,0.0,63,108
raw_path_history,stead,0.0396039603960396,0.037037037037037,0.0382775119617224,0.1881188118811881,0.1759259259259259,0.1818181818181818,0.3366336633663366,0.3148148148148148,0.3253588516746412,3.3043069306930684,1.25,8.37,14.465,0.2083823529411766,0.1775,0.4669999999999999,0.6203703703703703,0.0648148148148148,0.0648148148148148,108,101,0.0891089108910891,0.1428571428571428,0.1097560975609756,0.1188118811881188,0.1904761904761904,0.1463414634146341,0.1881188118811881,0.3015873015873015,0.2317073170731707,3.587894736842105,1.06,8.062999999999999,13.445999999999934,0.1997368421052632,0.135,0.46,0.6031746031746031,0.0952380952380952,0.0952380952380952,63,101
mlp_residual_unshrunk,stead,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6296296296296297,0.6296296296296297,0.6296296296296297,1.0292642129629632,0.3270415000000002,2.624499999999998,4.920249999999996,0.2166445147058824,0.1940524999999991,0.4672985999999992,0.3703703703703703,0.0,0.0,108,108,0.1203703703703703,0.2063492063492063,0.1520467836257309,0.2037037037037037,0.3492063492063492,0.2573099415204678,0.2962962962962963,0.5079365079365079,0.3742690058479532,1.1198585396825398,0.46,2.2740000000000005,5.271999999999999,0.1796387500000005,0.1298115000000007,0.4549372500000015,0.492063492063492,0.0,0.0,63,108
mlp_residual_shrink50,stead,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.8055555555555556,0.8055555555555556,0.8055555555555556,0.3652513796296296,0.2378660000000013,0.7777279000000014,1.1740182499999985,0.2145261149425287,0.195512000000001,0.4693652999999986,0.1944444444444444,0.0,0.0,108,108,0.1203703703703703,0.2063492063492063,0.1520467836257309,0.2407407407407407,0.4126984126984127,0.3040935672514619,0.3981481481481481,0.6825396825396826,0.5029239766081871,0.4473233015873015,0.2971109999999999,1.0718566000000014,1.3396587999999998,0.1848121162790699,0.1746090000000003,0.3946738000000004,0.3174603174603174,0.0,0.0,63,108
fixed_catalog_rescore,stead,0.6203703703703703,0.6203703703703703,0.6203703703703703,0.7407407407407407,0.7407407407407407,0.7407407407407407,0.9166666666666666,0.9166666666666666,0.9166666666666666,1.7917592592592595,0.06,0.4059999999999999,0.6834999999999984,0.1029292929292929,0.05,0.3719999999999999,0.0833333333333333,0.0,0.0,108,108,0.3425925925925926,0.5873015873015873,0.4327485380116959,0.4537037037037037,0.7777777777777778,0.5730994152046784,0.5462962962962963,0.9365079365079364,0.6900584795321637,0.1877777777777777,0.07,0.3380000000000001,0.7269999999999995,0.1083050847457627,0.07,0.3309999999999999,0.0634920634920634,0.0,0.0,63,108
shuffled_history,stead,0.6203703703703703,0.6203703703703703,0.6203703703703703,0.7407407407407407,0.7407407407407407,0.7407407407407407,0.9166666666666666,0.9166666666666666,0.9166666666666666,1.7917592592592595,0.06,0.4059999999999999,0.6834999999999984,0.1029292929292929,0.05,0.3719999999999999,0.0833333333333333,0.0,0.0,108,108,0.3333333333333333,0.5714285714285714,0.4210526315789474,0.4444444444444444,0.7619047619047619,0.5614035087719298,0.5370370370370371,0.9206349206349206,0.6783625730994152,0.2152380952380952,0.07,0.4120000000000003,1.0299999999999996,0.1096551724137931,0.07,0.3315,0.0793650793650793,0.0,0.0,63,108
biased_history,stead,0.6203703703703703,0.6203703703703703,0.6203703703703703,0.7407407407407407,0.7407407407407407,0.7407407407407407,0.9166666666666666,0.9166666666666666,0.9166666666666666,1.7917592592592595,0.06,0.4059999999999999,0.6834999999999984,0.1029292929292929,0.05,0.3719999999999999,0.0833333333333333,0.0,0.0,108,108,0.3333333333333333,0.5714285714285714,0.4210526315789474,0.4444444444444444,0.7619047619047619,0.5614035087719298,0.5370370370370371,0.9206349206349206,0.6783625730994152,0.2152380952380952,0.07,0.4120000000000003,1.0299999999999996,0.1096551724137931,0.07,0.3315,0.0793650793650793,0.0,0.0,63,108
history_unavailable,stead,0.6203703703703703,0.6203703703703703,0.6203703703703703,0.7407407407407407,0.7407407407407407,0.7407407407407407,0.9166666666666666,0.9166666666666666,0.9166666666666666,1.7917592592592595,0.06,0.4059999999999999,0.6834999999999984,0.1029292929292929,0.05,0.3719999999999999,0.0833333333333333,0.0,0.0,108,108,0.3333333333333333,0.5714285714285714,0.4210526315789474,0.4444444444444444,0.7619047619047619,0.5614035087719298,0.5370370370370371,0.9206349206349206,0.6783625730994152,0.2152380952380952,0.07,0.4120000000000003,1.0299999999999996,0.1096551724137931,0.07,0.3315,0.0793650793650793,0.0,0.0,63,108
oracle_selector,stead,0.8205128205128205,0.5925925925925926,0.6881720430107526,0.8974358974358975,0.6481481481481481,0.7526881720430108,0.9743589743589745,0.7037037037037037,0.8172043010752689,0.92025641025641,0.04,0.2109999999999998,0.2814999999999999,0.0644736842105263,0.04,0.26,0.0185185185185185,0.2777777777777778,0.2777777777777778,108,78,0.3425925925925926,0.5873015873015873,0.4327485380116959,0.4537037037037037,0.7777777777777778,0.5730994152046784,0.5462962962962963,0.9365079365079364,0.6900584795321637,0.1877777777777777,0.07,0.3380000000000001,0.7269999999999995,0.1083050847457627,0.07,0.3309999999999999,0.0634920634920634,0.0,0.0,63,108
